Rank,Title,Heat,Link
12.,韩国人的精致穷,40.6万,/l?e=283dPR71P68%2FDMm%2BdY5TkLhZgml66UNhaMBuXTajFtyIFl%2BRhhQLpIxLS7%2F7j%2F58YymcGAG7t8LRHY%2BLgNGYn8SvT9%2BmEQ8KlhCZN1syT8rVPgrVkN%2Fw5cgVnjE9hC5fl3Z0Mvw5Pcs85BUII9iN2eMbzzBdL4GDVuI4kXvNHmSE6kumdedcrh29JkqGeNfcMkAkn6QshJ7iH4INVFSbf%2FMkxQ59sqiae5IjDtIiC3olJS6PdVkANBaeeCCEUcJUM913gdsGLHXPd3Y%2F
13.,17名男女KTV聚众吸毒被一锅端,39.7万,/l?e=1ebcnKccYMYILWpZiMUmLr3rF1ZcfI1e9cE9Ui5pxQVZqy2A6Er7%2BlMLDkVjbCT0X9Kx%2B7Mge14vvwnmmlNZr%2BZ7GEDfv66bSMvtAfUtRfZbohERB%2FfNh3BK5cwlthCotzaGLS%2BZkuHVpLBey78S4po9KbPTbOt5GjRZxXR%2F8vLGDzEKbPJMvK0g%2Bb4rmH7ikjsOaq8LqkBvRctg6EUy%2FryirN%2F%2BZaLLV1%2FiO80IcPM3hBNOy34f2B1dmtAolJapnQhzTceHw31ifU9bITDoUNqzMVRw9Jjg%2FlcuHsC%2FayB1f2DtGLimGLu6hyKcFRUmcE6eEs0x1NkGaH%2F49wB270LsUfbHjm9EnRQCBmw
14.,鹿晗好拽,37.6万,/l?e=f0ccMDb7JUWn2U4DgW0mp%2FjY%2B9ORuz0FPRf8%2BL0uwTyjca9QRpZYTmyJL3z9TbfGB58i%2BN6eCNr6%2FApcMNFWBMJwNckwgUDVWHmAowSIJcaevQkNRl57lvWQ9IsKuDWEKmt0KFZbX0l2qgBtDb8cVIkRACGp0AAvuaprYMeNU4%2BtBmiz4pxXwAwvGDv8aXoaSiCt%2FJd0cBqSdd0sC1XX
15.,再见爱人4第七期视频没了,综艺 334653,/l?e=6a27UNIreQi0deGQT6eqRXbPcyt%2B4c1MmRs%2BXY%2FcqpSQmly8cfgfvbLpIcfQ7%2FBGhZ6Nf3E5uarQc2nuA88uuj4Ljqg67SMzE%2FUNHD5xhdwLeKWXFNJhMYGrtEMn8SU3XOXLjpAUhN9Y8iKfQxklUPP5eQB2OirmjLrNYhcNBuIBKjfRoRBjRVVysAKzsniQ970e50TKRTBmLurKZoJe%2B9YXvX1oAvYlQ9eAx3n7%2FNT%2BEQsrAZce%2F9DUaYhsln46415kux29Ww9bI729brJXTb2LftQhi%2B68SYFMgZIRWePHFWEWuKWBoGbYgxgjqwe%2B8yfSbO3DJlonJ1OeeNGdecklR1b8wsLtvQ
16.,导致胃癌的6个高危因素,33.2万,/l?e=38d211QRJFhSvYBBpyU14kdiD4Ap1%2FrwQdGMomru74XO6se0TLDqIJDU6oefXobKTsE505wvgKL62863bOgqKhQBp3RWdTqC23zQnWtLx5Hn8qSOOWXY4gKJ%2FqkXWoE6F6PVBGWGjZJ5QQFNDwq08ZZ%2B8KrUvQ6MKhuQ2cLwVEDtIscliwNU9k9hBNSt3NJFSVddNn0QTb7Zy%2Bm5CTkeKGqBzvlU5HeoQwQC9FikOr6UwNgJf5LlyzjZe%2BLyNwfJk%2FQyTvSrgcgcEXve9Coew5%2FRrsQ%2B9vhlyRoFYwS4FG1kb%2FpGsdJYeuhkcdMmrpBnZV%2BPs5aCX7%2FnSw
17.,黄雅琼回应郑思维退出国际赛场,30.2万,/l?e=5427Owc7NbPlTO2vLgAPO4nKsnWKBPZ177kJmHe8qcVXmqs4kumbr9OWFgCBgxGv8TNEgLhLXEY%2BszzElzF9k6MGlf%2FEVKmZe%2BANIeOvoSLKOJUG5VwSIQU9aft5FG%2FxMGzysym%2Bs6lUA8DRGMelYQ%2BPigOiBjTGeNxdhr2jWZRZ4e%2B8NajryDZLPM%2BWZh9238%2FqvBDrEl%2BJsEaxQpJZEqXAqvpHEI02JgeroR%2FuZIOkIqgdPF2B5Gcb8xAS1yLf%2Bw%2BpxAmfDkawySKCMtH0z6q7Lf9NmmBbVkCIN%2F2q%2Bf90LKcOUEL7i%2B956GHeuNx0hPv%2BLTnR7C7%2Bhi8vDF6W386yoRXda5oskYbLpNKzjM431XeZwkMKkAWq5XIyhoXxr7Sf827RlJW7WIYianyI8guF2%2B%2BV
18.,美国女子抱婴儿袭警母女都被射杀,23.6万,/l?e=610c%2FOtpyjb%2BD1gA4TDcR2nbUzbjaE5nYs56dMoHykwTJ%2FPoZ5Gy1jEXNH6qwPud5bRo9CC7aG7BQSIWuSpAJextedUquLGSGftKb4i9IChdHBHAORqC7vafFeD4Kfn2f1IJIyj5pqOLLKSiBiRpzuBt1ZjI9IyH30d94N9YoDxcrPFj18kK70fnZNQE3E%2B%2FitGc3KbeEYnfks0A6xdcuOkX%2B8fdEfTAIRhliJ7XBpjNeo4q1RqhND29UsB6L6o66SDWLnnMeFVCWyYJh7tOcDv6c5B2m9z6t1bTNtXeAZAv%2Fa7bna2hAXTjYfhuzczM9jap33pYbBcxVKxPD5YWQamqkq9sC%2BVD%2Fs%2FQmpPpo0j%2FthYI1u13usbyxLhPzDF6ng9r0UGAtwFbTDfM%2BRtgEgnIbGrNbctEXzrQI%2BpZpQs9mOne
19.,官方公布冷藏车厢内8人窒息死亡详情,23.2万,/l?e=e390aSNGAe5wi8gowQSwz6QolljWZMfT9badz37K612Di5z2sXI8ZpNG1gPfNZjqfIvmk5bDB48%2Fi8LqR2sPtYZ3e%2BwpTIC5g6PYnrJQgGfDdo8MNLINKTGhRP9KP89WPtwZDzbUQxtXwmKbfeYYuQmaY0w7R%2FkIJ1GHYdm9Fx20%2B93nVMEK43LHLoAw9q%2B26Ikb7NpjTRVdKlH4PEkJJD1l34l6EI%2FW1LGcABEMOHqIQrBOimTb02%2Bsw8W7BblGPDnXMO2wDCyJS9wd%2FZahPoNkU084cfbFg%2B1%2FdTH8IjbSN8KnQdht7YzpW2z54EJgRopsJs8ia2kTBQtWCC5PPnKHO%2FFha4ZyPTxehWHVXTIJHTQMQjP659jrBgnbBfJrLbej7W%2BYuwzzQL3BiGzYI4TdzWdjP3qBPkk5%2FEluok66tSpiF2%2ByPfkw4wj2QmUVvfge8w
20.,蛇年春晚看九命相柳,晚会 229738,/l?e=baa373%2FCm7yi9l1dCRYRwVD7ilPoWBHteYDmOU6erjgJkcTjbtoteQI1hi%2BdHqiTadB2P7uFkUoXRan0KOpqG2ap9O22BII2hEF7aO16l75JoXBeIxgK0r0ih7mtNONSZ9wDKdSY7RygV5qcHwpEaU%2FhVcze7Ed4vRT8HT3rdwpyhF3GTEddPJR5h%2BNGRY0GmFH7KvCBJQWw4TayE0TMmPnjzY5z%2FTK4yqOScsIVNbXzHTxPIr81zh1HAf5euA8h5W%2FeWX7dI%2BkbCFAJmyxllyft%2FG2SF9gw%2FYS1mXd6AXRy5v0DqmzojWtd
21.,张婧仪眉骨阴影,22.3万,/l?e=c1c7LzSN62oESXz%2FV0AOFvBaPNMz8Q2SGhuu8wOzJN7ZYPSSqTb3357evcUL%2FtJbJVusCRt1IvoZI1ZOUcddOpwXvIeoP16Geh%2FLyhSWuIu5XOYjFttJwxdRTYUkrjEJnDAfb4AYsKs8YThsBWsOVD98534S5hYPggbuvGL1P24gJF6%2Bz%2FJMxEw6dremol7VG6xxZZsf3wRXDhp1705msRTA5%2B0nDaScQ5IF3cEOiglWSuSzkIFwYQseQhmyAycg0EsQx0z87v6w%2BSyN
22.,打游戏一直稳是什么体验,22.1万,/l?e=d92ciLbnv5qrGe0%2FcS%2FYWEPUFXrn3SzObEFpPb0I%2BoP1MaLvauD6puMt4I9oX1VQt%2BmKWKRm4HZkgQfVXFIeBVWd8bTZ%2BXIGy3ynaEFomlTVwy3RB5CsziLbiMU7VV69d%2FPKuG7GMrIhwj9kTdRTgKFJraeUOw%2FEKKOX8Hw7mnalYCnCOxLpJFnB%2F9dn%2FSVW72ygiH0J0exQ8l0c%2Behs4hq452lxlJoxg%2F7swACzJSDjzOEa23UUe7SYlcjqxAEnu%2F5mAHVwrDTs8pvfIv9TT5UMaPbo8Qx6ffcG%2Bsd5TN%2Byw%2BWbJvMPA3FbgaFHeuM6%2BKjqXlg%2Fm1y84Efgy%2B9mzN5sE29eegEj
23.,中国游客在马尔代夫潜水遭鲨鱼咬头,21.5万,/l?e=809diom2o1qCXFdnn01BDEQgW6394qa23VstZLf4pj%2Be6FNXFXRfUDfxyYLljlUbDyC1isp1HFilesmii%2BH3EsyOJEaZKVnyGmajz9%2BmYptfJ%2BeBD%2FuEXtCIvStHw1yTnVRFDgrxpWSdQsh6oPFyt7YGmVCrwqixgAxEFN5Kkja1toH2a6ifjWOqn1ltI6pxIQVjyk0e%2BU3ZinwrYfB7J%2FhQUZjAwX7iqpAD9NRVmnUQ2GP3K2msv9BkT7D3txi56LaACdLzNTpYFRnVC0EOYdbYk9a2Gcvi0li9GkbqgjiZ3GGvEstoSP3845Es8n%2BVvLRHR47OvUArRFv4MxR%2Ff7mrizUv%2FrlqBaXt7bHMl%2B05YgOGocFOjRdIMmJi4pna1U1t0YWnobTgou2tyhGNtVeN8opo7ZcntZLdsmBJNSYKvbmrpor%2FUvmd53H0iQnL1ndy
24.,周密把周芯竹买话筒的钱转给她了,20.9万,/l?e=d625W89hOFzIgXArVo0DRcVlfLns%2Bl3WoETMIG%2FStbIH2B%2B7yCNLCFtgsWbY0b0zLFK8AWMShptkZG%2BvdZH7WlFFztKuaCub53RH90M%2FF3Wkwn%2BOl90i7a6twIODTbzkIVI6hMR3QTnZPYOZx5D90ILiRyHL1O8E4byIno1lcMpgVBl%2B3N0t%2FQiIFoRvud3YdByFc%2BAOQYtHPCz6ja7UbKNY93NJUbSP56HskH%2FVcSSKjZeqLOQlXYCPownTt057aX8nCg%2BJSNqxr12KwnPqMSG9KVxpGAhSJ3KGmkj2veQgNV1jdvbrO1CENtV%2Fc1QD%2F2V1G5y0X4ieG9EsNPei0ZlxgfBLd%2F8c2shw3vA%2B3EDABId%2BnKDS3UCyuf1JD4gPeAWdt5Cc683OKSAHFkh8SXc8kfzjjQ%2BRPaKKx0Nc7dyYgJOr
25.,冯绍峰接想想放学回家,20.8万,/l?e=67acFAWEUjYnBaH5GNA4tGkt2M%2F7eWQHfbjPRFd8%2Bm5wfF%2BATR1TXSl%2FsE0wsDvg97i9sO%2FcrzbL3KhOxxVL2iCGMg7DuzYl%2FSpKGVx2mxWHBnyiB8AylaRhVran%2FJJd3JoGnBskPQZmmKiu2E2yTdiVXow092L57ljxIcPNLmil5G1UJe8vx%2FShAdg0GJqbZsUHPO6JGxscYQTtR51B4uN8oPput45C1ZTXzLVVCQQW35W3Gx%2FQK8wdUnvnN2btr%2FzdNvlGqVCN6wBHaNKU5RBSVHSuTtkozO%2FxkjydsifgIlfdQSkJY7ATA2nq%2FQXDPwIhszWGsLgB
26.,林一长沙活动取消,20.1万,/l?e=6b71aA%2BMH50mZpmXcGQk8Tkx%2BSfBjt%2Fm4DUM37rm3%2Fny2kUGmQvu4TupOG%2Bb5wAFzbP40QF2VZBABzayNmBfY6t8BjofadUpo0yOuBi8j1r0RuC0zNAf0swGv%2F0brcUxY00CkjdTxJebm7Cs7lW%2FSVfxzz21TkHjN2HOug4zO7p07ar5IEZrnul8c2wD6u%2FqTMXZkBr6Fk8kNejOdBzKbdKVSVb2MaSZWJp8powfKJWGbcpLX5HC6BWNHyu%2F1McVUYgaB4CccckMZrJZgnaY6zgJueVQouzd7pz8
27.,郑思维回复樊振东祝你我都一樊风顺,19.6万,/l?e=7656w0rKi6n8p%2FqbC9%2Bv3ZFPN15QQzpBy7n50OCHrMYsvpmAsXz6kfufuodlgUV1nnETvr%2BUVVtwv%2BwCD9osS461UgbrcbjLyQUFwMFx6nBzkRKV3F1rnkdUbTIdL4n7Yh%2B8RN9tvni4H0K5RkV1uvv85kuHR3%2FXoa6FV6Juf1aLFM1o7KQNpy1ZvaaHj6yesdemYo%2B2lIeda2DVf9RvMizsyiQUGVcbZpcjd8dJJ6zpbXL5ijVZl5kHyV9Ca03I7bWT%2Fw8t%2FtBMOi4IcOKJquuQdF3GIDGejaU2wHDlg9Qh73TOfnkF9dJ2JxN2H5ryBTRm6YPRqu%2FHGN43nQsa7mndMv5GzA%2FnPkoZ7rRZKjdUBUodNQxHzE81JAfwPkeuuJ953LrVOfFmLhlmWqfAEey9gxED8%2FHfFyFsE6kMjDzT%2BRLmlPRcVPjpZDUMNQiwC0Y8
28.,安以轩老公被判处13年有期徒刑,19.3万,/l?e=f9f2aQiFeSY95pkdIkPIh5mbInj2j5HPtPiqNU5ljzT4hjOdcDg0j6vt5IcjXUe2mXP2AAcDS%2F9fAPuiZmwlLviVxl3%2FxVsHGmTyVA%2FoQfHLJD4rf7XlHBL2UEiwd32RvvkfE6iN9FEki4A03oBKv7BD1zLVNMkU0t3H1yIwhXng7nipTIJEF89vyWFmzXJ2VSZH4oieeh9h3dOcfB5qaVNuGli%2B7dunP6YhiE9HllJteUeGsM3ipFLsDOaOjtZtUo2U3N02Q1EPmbiP1ATrAgdnMPkmz6wDnrdnwtYXnmTgbWdgu7JKVBHmaCjiaD0tkUdrRxTHDOvQpAGbvtMhdGO6UUfqA%2BuGWtGrv4gqVIKpqSiA%2FlZaDGKIR93wVv4FB3eZTmD%2BRVE
29.,女子在中医诊所遭性侵医生被刑拘,18.8万,/l?e=381el93qyVFly8MDPw27kCupsagdBad9TF%2FZq4uUaSZnRk2QXb0PLUaLpH7k0tOFZNOP%2Fq5KYRpgdLH5IFys%2FG1vLtWyWOmK0F54DNBq34zCEhADD5tWbrkll4MuEQ%2BTsphZZkU%2BfUq8dmXm5kfhnvu6l3zcqHCyi4E3gPYQqFCeZNXVG1R92VVDTomgytGLfrjdBc%2BMPvL0exIKb4BxsvM%2FSyVvvQFFv2ssPNNmx1i0LigZXWdZRUrfhxOP2teGV94hJonNPIU40FQt2ld56dBUcGOibFyD8ypxLns0zfMZ8l2Tw0fjbSTl6qWlUx64RAiONPFbOpv6yl4UguVGl6BEJnQx3%2FsNLzfhyKO9ZLht%2BTF3i5ZdR3tG%2Fra3c3BCgzXf4zu%2BCTuMMuwvld4PWqp7y6PxmdocqxwvDzgYXvUPP6ec
30.,蛇年春晚官宣,晚会 175129,/l?e=5b181ZYR0ceAsRVy%2Bf9zG3uHczMsfpI4Gsmsx81ECBsENOE6koZ0tGPsX0O4LrUePbXJdwhuGwAY4ltRKBzMrr%2BQEVNTlHOOg4A1xPtSvHU2uXZbtbI9lqn4i40N0tBzwO1KZp52kcQ9QU5LGnVKKk4zuDDx%2FE%2FlQv5Awk1Es2VE7M2f2UqGR0VR47h6rL1xe0izruXB%2FGUYvXGW74lqqkJiGiefAz1srwwDxfqD%2BnLit1QVOZpaP6C7C6Tu
31.,郑思维说我在杭州等你,17.4万,/l?e=2645ClbskLk9WWe7PTfZkb9Lsg0pvyqWgAmPr7KP37zqEPZKMv9H0%2BGxxVX8MBpdfcmSxu41W3RZrC9PukNUk3Sdv6OSHmntjwGx0reQ5AN%2Fgi35tluh%2FSggTqXfuJ8rWJhteWqhoE%2BGqgYY7zYmYmwNc3ZG4pmi3tuC7QbROnoSA6LCv2GXuYhHvCWcbjLrtGsVxrbPIDW%2B0yx27odOax1L0mJixLRIgbA3zkoZEbpINzH0VHdQLO%2Bj5nhpGD579G7e%2BK5jvtrBkzj1%2FN4lfa8anE5we3q72jlbO1jbMsZxuUkslLRz%2BnD9XEEM46Vg%2BFz19%2BflXuEa
32.,王源头像P了个新帽子,17.3万,/l?e=f29fUCiHqbn4FpIIfi82kE%2FE6iboTaCNWULMFZogzYmn%2BA27YnCMu%2Fw8xK9TlS59duCqV5IrY3wrbQDsDI95Q2SIwKULtoWJjlsZanq%2B3zQD0sNDUS%2FuoVSu7okmoS9X4CmBEQhgUkbx1%2FZLQ5Eq3aeUYKr%2Be%2BkiundWm7avRsqk5FVjrm%2Fikgs9uZkF7%2FpRkBEvyeAN9m%2BoomF5XuJExugQYF%2F4d2gG6i9MMH%2FD5QXirR6LHlny7PjuRmnoBY647zyCniFJfZS40N%2FcM1U3B8ogh0aKC%2FVWEZJXVcYWO95oCOzr%2B%2FOVS4i5fg
33.,为什么刑侦剧多在东北拍,16.9万,/l?e=36385udlvWoUQzYcMMAfv2A5%2BTK5w%2FY8rvSO1ZudUoUjMG%2BH1kmLNS6Q8w%2Fp%2FYdLsqOt%2BafKQ3zvYgJq533RAIySBZxJyyC%2Fv3b8THADNgzH%2FmMxHZdog%2FvsWhYadkGj2QJIt6uvkSWyA2aBIBMyflCTbvYJX%2BTKei9ThmyPdBe5ctyjyUEhbxzNAQkedd8FOkG02a9bcx%2Fj4jB%2B8lhbYRzgBEqujsvDKnMrNJ29nbdpxrZJJFtsIZeA5Z%2FW22SRLKp9bk8%2Fx6A%2FFmvgS6jd9%2F6Ma8KycR8rbqezkOnFkdkW1Eb6Qz%2FhJM2tE%2FCG40AwF%2B7j61TnTLDk7lsxaktzhWMGPjsVsIWh
34.,iQOONeo10双芯战神,16.8万,/l?e=ca3fozp0rxebq3YDukwq7LBA6N5ddYX8RydChzlMVR%2B83bxK%2BalIY3iaFaZ%2F%2FDn7bey0ag9Kp3lvekvMyj8Z9%2FNLByMMcFvYKyT9horTNDkUlLaeHO%2BMb9kf3TRJfvT35rVXwxfC6C7csZKFs0rg6GWqXYSZW%2FFPSN4JyKFDiOrIrtKdMAU2fMvF2H48UKDBVBXMwWcp2I%2BrsdL68VYHLNNdRu3X5c7g
35.,辅警因为一次好奇9年后救了一条命,16.8万,/l?e=b382by%2BebOJ%2FNVY4eH0KihPQy004GVHKTRiUyVEtWLKtkSS8n7mfrxU8XViuXjQJkVL0AAOuYKdEFNJfMj3ObChw%2BnmUfq5RTXmXu0ursFFJJvwJW5sUl%2Fc24pp7IrGlSQFcvSx2SPJVr%2Bx18FoqXreDijyeSh%2FUZfFdEckV7wOvAMpifSVlcHZqfr0SXRNNzE7eTboxcSIdN%2Bm2gJlD%2F%2BDXQK76xfU0KIqYsHczoRszE1r5EGfsqK6UG2NAeu76FSPJ412AgvdSTFDdj4hMTcaL%2BnRImbnAbeHnqI5W7ay9x19ZNfOWDLyC40iG0iVaOIvMFe6pb5cLdfn97siS5bOWHM%2B4ws7xfkU26%2FrtDXtwULEH4INZxIiyYcWgZN2IU6u2%2BmzRGR6UG%2FuRugPRjvgiQ1Jq2VbeRXQJsjuoghN19NL%2F5w
36.,年轻人买的水果半数是情感商品,14.2万,/l?e=2388YNx4OoJzzz5SDEoCTMVi9SJuGr%2FiLSSAPaptUQa%2BbYS7a%2Fqpxj39M9DvuWj23SINjN%2FTmbmp91fMTPjvgLXhSyCr%2F1SIWIkyL1DpD2zdZn2Ar2YmPP0bnfZY0ebU6uZtdOaE5K5OedD9yLZCQJgblz83u%2B3gjabGgAV1kgtEYA7QOE5uBpFsCijQZHKSiVUkbcceVVQClOOwBHeVDsMLCo2dlP7AbDYhbWhcwsfjPMMilJX%2BosU7gtwqK3NBeTQkKmVp1TBIzThqP69yymeL0QC3kYYoI173x%2BJ9KxYj8iptZDtKElVjQ%2F5BuKjjZAGvh8ggtdR8becx8vWawHyRD9ZgKqIM3fcbH%2FSdQNql%2FXNgpmlGszTT05%2BssNT270hs2kijavIDFbSfRfFWAxNEpI2C
